CustomerID,TotalRevenue,TotalOrders,ProductsPurchased
14646,280206.02,73,196915
18102,259657.3,60,64124
17450,194390.79,46,69973
16446,168472.5,2,80997
14911,143711.17,201,80240
12415,124914.53,21,77374
14156,117210.08,55,57768
17511,91062.38,31,64549
16029,80850.84,63,40108
12346,77183.6,1,74215
16684,66653.56,28,50255
14096,65164.79,17,16352
13694,65039.62,50,63312
15311,60632.75,91,38147
13089,58762.08,97,31025
17949,58510.48,45,30546
15769,56252.72,26,29672
15061,54534.14,48,28920
14298,51527.3,44,58343
14088,50491.81,13,12665
15749,44534.3,3,18028
12931,42055.96,15,28004
17841,40519.84,124,22834
15098,39916.5,3,121
13798,37153.85,57,23948
16013,37130.6,47,15536
16422,34684.4,51,33704
15838,33643.08,19,18368
12748,33053.19,209,25287
17404,31906.82,15,32748
17389,31833.68,34,7612
13098,28882.44,28,15968
14680,28754.11,16,13476
13081,28337.38,11,19068
13408,28117.04,62,16232
17857,26879.04,23,19256
16333,26626.8,22,32184
13777,25977.16,33,12897
12753,21429.39,6,11421
12744,21279.29,7,5241
16210,21086.3,18,7559
17675,20374.28,31,8360
17381,20275.61,29,25649
12471,19788.65,30,8200
15039,19766.59,47,9131
12731,18895.91,12,8437
15159,18641.010000000002,30,11441
12901,17654.54,28,23075
12678,17628.46,12,10923
14031,17286.86,19,5788
17428,17256.85,28,9474
13767,17220.36,37,7322
13881,17159.52,20,10118
16839,16594.35,34,8975
12921,16587.09,37,9526
17677,16345.38,30,9772
15189,16225.39,41,6149
14607,16209.5,14,11526
15856,16143.64,27,10866
14051,15610.390000000001,23,3756
15513,14758.220000000001,19,5709
16133,14589.04,33,8887
14866,14389.9,12,6752
16705,14034.99,20,5476
12681,13787.54,22,7536
12621,13689.67,20,7440
12540,13400.24,17,6685
12433,13375.87,7,11071
15498,13316.4,27,6105
12477,13219.74,6,3653
17735,13110.02,19,8439
16525,13027.45,26,7397
14258,12669.98,9,7100
13078,12627.94,26,5630
12536,12601.830000000002,3,2803
15640,12416.11,15,6572
16000,12393.7,3,5110
17340,12353.29,11,5967
12682,12279.82,31,5555
13113,12245.960000000001,24,3045
14606,12076.15,93,6187
12557,11990.960000000001,5,4384
12939,11581.8,8,4876
15125,11528.48,15,6193
14194,11349.52,21,5840
12971,11189.91,86,9289
14895,11138.710000000001,20,4851
12409,11072.67,3,5551
17581,11025.24,25,5915
15482,10879.76,12,5004
13319,10845.550000000001,26,4724
17107,10797.48,6,4826
13340,10736.48,7,5770
17139,10650.77,12,5176
16779,10611.720000000001,22,5301
17865,10526.32,20,5757
17706,10504.49,17,3899
15251,10484.99,11,6171
14062,10464.85,12,5593
14769,10416.98,8,7239
15615,10399.74,23,5508
15502,10384.93,12,4236
16180,10254.18,8,5867
16843,10196.57,16,10159
12590,9864.26,2,4283
13199,9817.12,38,6176
13001,9785.970000000001,13,5490
15078,9743.11,32,5105
12709,9706.52,15,3912
13458,9646.57,14,5508
14733,9585.91,12,3764
16523,9418.470000000001,21,4265
12567,9401.28,10,4305
14367,9227.82,16,4426
14667,9175.04,25,5319
18092,9068.26,11,4252
12451,9035.52,5,6575
13969,9024.17,18,4528
13488,8968.31,13,4518
13090,8910.82,14,2263
16033,8778.82,20,3529
17017,8694.26,20,6673
17306,8631.31,19,11491
16656,8625.8,15,8894
17243,8540.05,26,3320
14527,8507.13,55,2088
12683,8476.57,15,4987
18139,8438.34,6,5557
15358,8347.2,22,7050
16558,8338.49,20,5377
14056,8152.71,23,4252
14936,8137.02,8,4085
16672,8134.9400000000005,20,2832
13854,8109.5199999999995,25,2296
14952,8099.49,11,3355
18109,8004.92,26,4230
14796,7975.49,17,5995
12428,7956.46,9,3536
15290,7943.22,18,4501
14849,7930.54,25,5694
12757,7834.650000000001,13,2395
13093,7832.47,8,3961
12435,7829.89,2,2055
13629,7792.36,11,4372
17811,7761.82,39,4146
15044,7634.7300000000005,17,2785
15194,7616.53,15,5703
18172,7561.68,20,3184
13263,7436.93,35,4768
12980,7374.900000000001,9,886
15465,7354.62,18,1257
17396,7330.8,8,2005
12474,7324.09,18,4833
12583,7281.38,15,5060
13018,7277.7,28,5435
18229,7276.900000000001,20,2488
16729,7205.33,21,5722
16745,7180.7,17,6719
16873,7123.62,6,3840
13324,7121.95,10,5205
16923,7069.08,19,3344
13985,7060.13,15,3445
14961,7044.68,9,3708
12766,6989.63,7,3646
12798,6977.04,3,5256
12989,6924.110000000001,15,2943
13027,6912.0,6,17280
16187,6911.4400000000005,15,5048
16713,6910.78,15,4271
17416,6893.42,7,4302
12705,6868.29,9,3997
12476,6816.42,11,2408
12830,6814.64,6,9848
15601,6776.56,14,4983
16652,6773.97,7,3283
18055,6761.34,10,2452
16532,6748.8,3,2016
15023,6720.41,11,2827
13576,6717.34,18,2646
15249,6688.46,13,3577
16746,6680.11,18,4660
16353,6675.71,23,2006
12626,6620.48,9,3453
16182,6617.65,4,3791
15144,6580.44,17,3050
12472,6572.11,7,4148
17338,6493.54,8,3059
18223,6484.54,14,2948
15694,6479.4,14,1677
13225,6463.84,7,3416
13102,6424.09,24,4204
12431,6419.95,15,2896
16814,6416.7,21,2697
13871,6403.25,13,2806
12359,6310.03,4,1609
13668,6309.83,21,3722
13709,6307.650000000001,13,3508
15005,6295.37,28,4230
16126,6287.77,4,2125
17315,6281.23,38,3863
14057,6211.66,17,4873
12357,6207.67,1,2708
14060,6140.42,19,5386
13418,6127.43,18,3918
15939,6115.01,15,4728
17509,6083.64,8,3512
14735,6065.69,32,2264
13097,6003.22,10,2360
12637,6002.9,8,2994
14101,5976.79,6,6942
15382,5955.71,6,4012
14944,5900.25,12,2815
13209,5891.61,8,4253
13534,5870.08,25,2961
14505,5859.43,8,2739
14415,5855.57,13,2996
13050,5836.86,17,3748
12720,5781.73,25,4672
15218,5756.89,11,3329
17686,5739.46,7,2478
13316,5732.93,4,5508
13178,5725.47,11,3570
16553,5719.82,12,4600
13468,5704.97,37,2589
14110,5683.15,12,2445
17716,5655.99,11,3072
13004,5655.91,18,4822
17049,5655.03,9,2673
18118,5625.08,26,2865
17757,5593.39,30,3318
12839,5591.42,14,3807
12481,5579.82,10,3294
14688,5579.1,21,3584
14049,5578.72,4,3808
16767,5575.56,11,4423
