,Year,Month,MonthName,TotalRevenue,TotalOrders,ProductsSold,UniqueCustomers
0,2010,12,December,821452.73,1559,358019,885
1,2011,1,January,689811.61,1086,387099,741
2,2011,2,February,522545.56,1100,282934,758
3,2011,3,March,716215.26,1454,376599,974
4,2011,4,April,536968.491,1246,307953,856
5,2011,5,May,769296.61,1681,395001,1056
6,2011,6,June,760547.01,1533,388511,991
7,2011,7,July,718076.121,1475,399693,949
8,2011,8,August,757841.38,1361,421020,935
9,2011,9,September,1056435.192,1837,569573,1266
10,2011,10,October,1151263.73,2040,621029,1364
11,2011,11,November,1503866.78,2769,751377,1664
12,2011,12,December,637790.33,819,313612,615
