Description,totalRevenue,totalQuantity,totalOrders
DOTCOM POSTAGE,206248.77,706,706
REGENCY CAKESTAND 3 TIER,174156.54,13851,1988
"PAPER CRAFT , LITTLE BIRDIE",168469.6,80995,1
WHITE HANGING HEART T-LIGHT HOLDER,106236.72,37872,2256
PARTY BUNTING,99445.23,18283,1685
JUMBO BAG RED RETROSPOT,94159.81,48371,2089
MEDIUM CERAMIC TOP STORAGE JAR,81700.92000000001,78033,247
POSTAGE,78101.88,3150,1126
Manual,77752.82,6985,290
RABBIT NIGHT LIGHT,66870.03,30739,994
PAPER CHAIN KIT 50'S CHRISTMAS ,64875.590000000004,19329,1160
ASSORTED COLOUR BIRD ORNAMENT,58927.62,36362,1455
CHILLI LIGHTS,54096.36,10302,661
SPOTTY BUNTING,42513.48,8320,1140
JUMBO BAG PINK POLKADOT,42401.01,21448,1218
BLACK RECORD COVER FRAME,40633.38,11651,375
PICNIC BASKET WICKER 60 PIECES,39619.5,61,2
DOORMAT KEEP CALM AND COME IN,38133.64,5487,728
SET OF 3 CAKE TINS PANTRY DESIGN ,38108.89,7483,1385
JAM MAKING SET WITH JARS,37082.13,8695,1132
WOOD BLACK BOARD ANT WHITE FINISH,35966.92,6012,685
LUNCH BAG RED RETROSPOT,35572.36,19232,1564
POPCORN HOLDER,34288.67,36749,803
VICTORIAN GLASS HANGING T-LIGHT,33146.82,24275,1037
HOT WATER BOTTLE TEA AND SYMPATHY,32973.44,5740,643
PAPER CHAIN KIT VINTAGE CHRISTMAS,32843.840000000004,10594,820
CHOCOLATE HOT WATER BOTTLE,32826.58,6017,858
JUMBO BAG STRAWBERRY,32727.65,17283,822
HEART OF WICKER SMALL,32094.6,17963,1201
SET OF 3 REGENCY CAKE TINS,31118.550000000003,6345,873
JUMBO STORAGE BAG SUKI,30764.01,13651,1184
ALARM CLOCK BAKELIKE RED ,30644.87,7800,1051
JUMBO BAG APPLES,30450.690000000002,14908,978
HEART OF WICKER LARGE,30098.11,9887,925
CHARLOTTE BAG SUKI DESIGN,29254.149999999998,18124,882
ROSES REGENCY TEACUP AND SAUCER ,29056.920000000002,9864,1065
HOT WATER BOTTLE KEEP CALM,28718.800000000003,5816,782
JUMBO SHOPPER VINTAGE RED PAISLEY,28577.1,12574,1175
DOORMAT RED RETROSPOT,28049.54,4088,696
JUMBO  BAG BAROQUE BLACK WHITE,28047.74,13900,933
NATURAL SLATE HEART CHALKBOARD ,27991.61,9119,1249
JUMBO BAG ALPHABET,27850.83,13366,906
ALARM CLOCK BAKELIKE GREEN,27155.28,6419,980
ROTATING SILVER ANGELS T-LIGHT HLDR,26425.579999999998,9461,449
RED  HARMONICA IN BOX ,26294.08,21903,661
RECIPE BOX PANTRY YELLOW DESIGN,26219.95,8269,1111
GIN + TONIC DIET METAL SIGN,25792.47,11709,759
SPACEBOY LUNCH BOX ,25719.02,14249,900
JAM MAKING SET PRINTED,25637.78,16396,1162
DOORMAT UNION FLAG,25534.15,3751,616
PLEASE ONE PERSON METAL SIGN,25225.480000000003,12274,845
REGENCY TEAPOT ROSES ,24879.13,2766,416
VINTAGE UNION JACK BUNTING,24525.83,2787,475
JUMBO BAG VINTAGE DOILY ,24489.08,11448,711
SCOTTIE DOG HOT WATER BOTTLE,24455.39,4655,771
SET OF 6 SPICE TINS PANTRY DESIGN,24436.260000000002,5966,834
ROUND SNACK BOXES SET OF4 WOODLAND ,24364.870000000003,8535,732
BAKING SET 9 PIECE RETROSPOT ,24185.27,4937,934
DOORMAT NEW ENGLAND,24108.39,3807,600
RED TOADSTOOL LED NIGHT LIGHT,23919.78,14001,849
DOORMAT FAIRY CAKE,23872.91,3615,365
JUMBO BAG 50'S CHRISTMAS ,23772.07,10285,716
EDWARDIAN PARASOL NATURAL,23737.97,4077,540
